team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
Australia,won,2 wicke,10,won,2nd,England,Oval,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,2 wicke,10,lost,1st,Australia,Oval,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,3 wicke,0,,,Pakistan,Sahiwal,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,3 wicke,0,,,England,Sahiwal,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,6 wicke,17,,,Pakistan,Sialkot,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,6 wicke,17,,,England,Sialkot,1977,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,won,36 run,,lost,1st,England,Lahore,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,lost,36 run,,won,2nd,Pakistan,Lahore,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,won, 44 run,,lost,1st,Australia,John's,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,lost,44 run,,,,West Indies,John's,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Australia,won,2 wicke,0,lost,2nd,West Indies,Castries,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
West Indies,lost, 2 wicke,,,,Australia,Castries,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,132 run,,won,1st,Pakistan,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
Pakistan,lost,132 run,,lost,2nd,England,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=2;template=results;type=team;view=results,2021-02-12
England,won,19 run,,lost,1st,New Zealand,Scarborough,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
New Zealand,lost, 19 run,,,,England,Scarborough,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,126 run,,won,1st,New Zealand,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
New Zealand,lost, 126 run,,,,England,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,won,4 run,,won,1st,Pakistan,Quetta,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,lost,4 run,,lost,2nd,India,Quetta,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wicke,139,,,India,Sialkot,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,8 wicke,139,,,Pakistan,Sialkot,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,,,won,1st,India,Sahiwal,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,,,lost,2nd,Pakistan,Sahiwal,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,7 wicke,94,,,Australia,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,lost,7 wicke,94,,,England,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,won,4 wicke,10,,,England,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,lost,4 wicke,10,,,Australia,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,won,6 wicke,147,,,England,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,lost,6 wicke,147,,,Australia,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
West Indies,won, 9 wicke,,,,India,Birmingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,9 wicke,51,lost,1st,West Indies,Birmingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
New Zealand,won, 9 wicke,,,,Sri Lanka,Nottingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Sri Lanka,lost, 9 wicke,,,,New Zealand,Nottingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,6 wicke,77,,,Australia,Lord's,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,lost,6 wicke,77,,,England,Lord's,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wicke,119,,,Canada,Leeds,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Canada,lost,8 wicke,119,,,Pakistan,Leeds,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Sri Lanka,,,,,,West Indies,Oval,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
West Indies,,,,,,Sri Lanka,Oval,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
New Zealand,won, 8 wicke,,,,India,Leeds,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,8 wicke,18,lost,1st,New Zealand,Leeds,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,89 run,,lost,1st,Australia,Nottingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,lost,89 run,,won,2nd,Pakistan,Nottingham,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,8 wicke,277,,,Canada,Manchester,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
