team,result,margin,br,toss,bat,opposition,ground,date,url,scrapped_date
New,Zealand,lost 19,runs,runs,won,England,Scarborough,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,126 runs,won,won,1st,Zealand,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
New,Zealand,lost 126,runs,runs,lost,England,Manchester,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,won,4 runs,,won,1st,Pakistan,Quetta,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,lost,4 runs,,lost,2nd,India,Quetta,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,8 wickets,139,139,won,India,Sialkot,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,8 wickets,139,139,lost,Pakistan,Sialkot,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Pakistan,won,,,won,1st,India,Sahiwal,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
India,lost,,,lost,2nd,Pakistan,Sahiwal,1978,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,won,7 wickets,94,94,lost,Australia,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,lost,7 wickets,94,94,won,England,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,won,4 wickets,10,10,won,England,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
England,lost,4 wickets,10,10,lost,Australia,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
Australia,won,6 wickets,147,147,won,England,Melbourne,1979,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;home_or_away=1;home_or_away=2;home_or_away=3;page=3;template=results;type=team;view=results,2021-02-12
