team,result,margin,br,toss,bat,opposition,ground,date
Sri Lanka,0.0, 8 wicke,11.0,0.0,1.0,Pakistan,Karachi,1982
Sri Lanka,1.0, 30 run,11.0,0.0,1.0,Pakistan,Lahore,1982
Pakistan,0.0,30 run,11.0,0.0,1.0,Sri Lanka,Lahore,1982
Pakistan,1.0,5 wicke,11.0,1.0,2.0,Sri Lanka,Karachi,1982
Sri Lanka,0.0, 5 wicke,29.0,0.0,1.0,Pakistan,Karachi,1982
England,1.0,9 wicke,29.0,0.0,1.0,India,Leeds,1982
India,0.0,9 wicke,29.0,0.0,1.0,England,Leeds,1982
England,1.0,7 wicke,47.0,0.0,1.0,Pakistan,Nottingham,1982
Pakistan,0.0,7 wicke,47.0,0.0,1.0,England,Nottingham,1982
England,1.0,73 run,55.0,0.0,1.0,Pakistan,Manchester,1982
Pakistan,0.0,73 run,55.0,1.0,2.0,England,Manchester,1982
India,1.0,78 run,55.0,0.0,1.0,Sri Lanka,Amritsar,1982
Sri Lanka,0.0, 78 run,55.0,0.0,2.0,India,Amritsar,1982
India,1.0,6 wicke,55.0,0.0,2.0,Sri Lanka,Delhi,1982
Sri Lanka,0.0, 6 wicke,64.0,0.0,2.0,India,Delhi,1982
India,1.0,6 wicke,64.0,0.0,2.0,Sri Lanka,Bengaluru,1982
Sri Lanka,0.0, 6 wicke,20.0,0.0,1.0,India,Bengaluru,1982
Pakistan,1.0,28 run,20.0,0.0,1.0,Australia,Lahore,1982
Australia,0.0,28 run,20.0,1.0,2.0,Pakistan,Lahore,1982
Pakistan,1.0,14 run,20.0,0.0,1.0,India,Gujranwala,1982
India,0.0,14 run,20.0,1.0,2.0,Pakistan,Gujranwala,1982
Pakistan,1.0,37 run,20.0,1.0,1.0,India,Multan,1982
India,0.0,37 run,20.0,0.0,2.0,Pakistan,Multan,1982
India,1.0,18 run,20.0,0.0,2.0,Pakistan,Lahore,1982
Pakistan,0.0,18 run,20.0,1.0,1.0,India,Lahore,1982
Australia,1.0,8 wicke,20.0,1.0,2.0,New Zealand,Melbourne,1983
New Zealand,0.0, 8 wicke,54.0,0.0,1.0,Australia,Melbourne,1983
Australia,1.0,31 run,54.0,0.0,1.0,England,Sydney,1983
England,0.0,31 run,54.0,1.0,2.0,Australia,Sydney,1983
New Zealand,1.0, 2 run,54.0,1.0,2.0,England,Melbourne,1983
